ten_cong_viec,ten_cong_ty,muc_luong,dia_chi,ngay_dang,nganh_nghe,quy_mo_cong_ty,quoc_tich_cong_ty,nam_kinh_nghiem,cap_bac,loai_hinh,loai_hop_dong,cong_nghe_su_dung,quy_trinh_phong_van,mo_ta_cong_viec,url,thoi_gian_hien_tai
Game Product Owner,TopDevs Client,Lên tới 1.500 USD,"Tầng 12A, Toà nhà AP Tower, 518B Điện Biên Phủ, Phường 21, Quận Bình Thạnh, Thành phố Hồ Chí Minh",Đăng 1 tuần trước,"Dịch vụ doanh nghiệp, Nhân sự, Triển Khai Phần Mềm",25-99 Nhân viên,Vietnam,Từ 1 năm,"Middle, Senior",In Office,Fulltime,"Unity, Game, Product Owner","Vòng 1: Sàng lọc CV, Vòng 2: Phỏng vấn trực tiếp với Nhân Sự, Vòng 3: Phỏng vấn trực tiếp với Trưởng Bộ phận","Chúng tôi với hơn 100 nhân sự, hơn 200 game đã được phát hành với tổng 400M+ người chơi trong suốt chặng đường vừa qua. Trách nhiệm công việc Lập kế hoạch thực hiện mục tiêu của team đề ra. Tổ chức team để phát triển sản phẩm (game) để đạt mục tiêu theo chiến lược công ty. Quản lý công việc và dẫn dắt phát triển nhân sự trong team. Hỗ trợ Ban Điều Hành đánh giá nhân sự khi có yêu cầu. Tham gia phỏng vấn đối với những lĩnh vực chuyên môn mình đảm nhận. Kỹ năng & Chuyên môn Leadership: Có kinh nghiệm thiết lập mục tiêu, lập kế hoạch công việc cho team. Có kinh nghiệm dẫn dắt, vân hành, xây dựng chuyên môn & văn hóa team. Yêu cầu chuyên môn: Hiểu rõ quy trình phát triển game casual/hyper Casual. Có khả năng đánh giá, cải tiến sản phẩm. Nhạy bén và thích ứng liên tục với thị trường. Ưu tiên: Người tinh thần dấn thân và chấp nhận thách thức. Có khả năng chịu áp lực cao. Có phong cách làm việc theo tinh thần Agile. Phúc lợi dành cho bạn Thu nhập hàng tháng hấp dẫn, cạnh tranh, lương Net đến 1500 USD tuỳ vào kinh nghiệm và năng lực. Hỗ trợ 100% chính sách bảo hiểm dành cho người lao động theo quy định công ty Thưởng cố định tháng lương 13 và chia sẻ lợi nhuận theo hiệu suất (tổng thu nhập có thể lên đến 15 - 20 tháng lương). Chính sách và cơ chế hỗ trợ học tập hàng năm với mục tiêu phát triển, bồi dưỡng nhân viên từ 5 - 20 triệu/cá nhân Các hệ thống ghi nhận liên tục, vinh danh, khen thưởng trong quý và cuối quý, cuối năm thúc đẩy môi trường làm việc nhiều năng lượng và tích cực trong toàn tổ chức Phúc lợi các dịp lễ, Tết, du lịch hè, sinh nhật công ty/tập đoàn và các sự kiện văn hoá nội bộ hấp dẫn. Thời gian làm việc từ thứ 2 đến thứ 6, nghỉ thứ 7 và chủ nhật. Được nghỉ phép nhận nguyên lương 01 ngày mỗi tháng.",https://topdev.vn/viec-lam/game-product-owner-topdev-s-client-2034178?src=topdev_search&medium=searchresult,2024-10-28 22:45:50.922269
"Project Leader/ Team Leader (BrSE, Japanese)",NEC Vietnam,Thương lượng,"Lầu 9, Etown 3, 364 Cộng Hòa, Phường 13, Quận Tân Bình, Thành phố Hồ Chí Minh",Đăng 1 tuần trước,Software,100-499 Nhân viên,Japan,Từ 5 năm,"Trưởng phòng, Trưởng Nhóm, Senior",Hybrid,Fulltime,"Japanese - N3, Japanese, BrSE, BSE Leader, Project Leader",Vòng 1: Interview with Hiring Managers,"ONE OF THE TOP ICT JAPANESE COMPANIES IN VIETNAM. NEC Corp is a leader in the integration of IT and network technologies that benefit businesses and people around the world. NEC has more than 50 countries, 289 branches, and 117,418 employees worldwide. Under the company\s corporate message of Orchestrating a brighter world, NEC aims to help solve a wide range of challenging issues and to create new social value for the changing world of tomorrow. Established in 2006, up to now, NEC Vietnam has grown with more than 200 employees in Hanoi and Ho Chi Minh City. We have been working hard to carry out many social contribution activities to bring more laughter and improve the quality of life. Trách nhiệm công việc Lead and manage the team of developers to ensure successful delivery of projects in timeline & quality. Collaborate with stakeholders to gather and analyze the project scope and objectives. Monitor project progress, project estimation, identify potential risks or issues. Provide technical expertise and guidance to the development team, assisting with complex problem-solving and ensuring high-quality deliverables. Negotiate & provide advice or propose new features or functions for customers. Measure, establish, and manage project schedules and work plans to ensure all parties meet project requirements, deadlines, budgets, and goals. Other assignments from the Manager. Kỹ năng & Chuyên môn Bachelor’s Degree in IT or a relevant major. From 5 years of experience in software development and at least 2 years in project management as a Project Leader/ Team Leader/ BrSE Experience in the estimation, and implementation of complex projects, Resource management, Risk/Issue management, Progress management, etc. Hands-on experience in technologies such as Java/ .Net/ VueJS/ ReactJS, etc. Solid in SQL/non-SQL databases such as MySQL, PostgreSQL, MongoDB, etc. Familiar with software development life cycle both Waterfall and Agile methodology. Experience in making specifications such as design (Basic Design, Detail Design, or Function Design) and test specifications. Willingness to troubleshoot and solve complex problems. Good at Japanese (JLPT N3+) & Basic in English Leadership skills and Motivated team members. Phúc lợi dành cho bạn Working time: Mon-Fri, Hybrid working mode (WFH available) 13th Salary + Year-End Reward (a half month) + Excellent Bonus (up to 5 months) Special allowance for foreign language certificate (up to 500USD/month) Full social package (SI, HI, UI) with the company, and the law of Vietnam Annual Health check at the top healthcare center 19 days of paid leave Free Japanese class; 1:1 class with native teachers Udemy account provided & Sponsor examination fee for technical certificates such as AWS, Azure, PMP, etc and get the incentive (up to 10M) Many company activities to tighten the relationship between employees: Company trip, Year-end Event, Team building, Sports Day, Family Day, Outing Trip, etc. Reward Most Valuable Player (MVP) for individual & team twice a year Sports clubs provided (100% sponsored by the company): Football, Badminton Professional environment with clear procedures and well-working facilities Onsite opportunities: short-term and long-term assignments in Japan, APAC",https://topdev.vn/viec-lam/project-leader-team-leader-brse-japanese-nec-vietnam-2034295?src=topdev_search&medium=searchresult,2024-10-28 22:45:50.922269
Java Technical Leader,CÔNG TY TNHH SAMSUNG SDS VIỆT NAM,Thương lượng,"Tòa nhà PVI, số 1 Phạm Văn Bạch, Phường Yên Hoà, Quận Cầu Giấy, Thành phố Hà Nội",Đăng 1 tuần trước,Dịch vụ IT,Hơn 1000 Nhân viên,South-Korea,Từ 8 năm,"Trưởng Nhóm, Senior",In Office,Fulltime,"Java, Technical Leader, Java Spring","Vòng 1: CV screen. We will contact qualified candidates within 15 days., Vòng 2: Interview with technical team","Trách nhiệm công việc Work for projects to develop and operate information technology systems for subsidiaries in Samsung group globally Facilitate and monitor projects based on lean tenets, tools usage and non linearity to improve productivity Manage a team of BSEs and Developers Publish and implement Quarterly business review with Partners, support customers and manage their request Formulate value delivery framework and ensure that the value delivery ideas are conceived and implemented by every partner and also for in house projects Proactive review of projects on a weekly basis and be able to anticipate potential trouble and prevent it. Not just manage by exception People supply chain: Plan for people supply chain and identify key positions on a proactive basis./ Kỹ năng & Chuyên môn Bachelors degree 8+ years of relevant experience in development of WEB / JAVA Ability to structure, analyze, and develop Oracle SQL, good command on Java, Spring, HTML5 6+ years of experience in leading technical team Master in using SVN, Github, types of project management systems Experience in leading minimum team size with 5 members Ability in training, coaching new members Extensive experience in using Agile/Sprints & a product (MVP) centric design; Applying Devops (CICD) and automation throughout the program development and rollouts Master in using PMIS systems such as JIRA, Redmind Helps the team achieve excellence in areas including quality, predictability, flow and velocity. Helps the team focus on daily and iteration goals in the context of team objectives. Effective analytical skills to grasp complexities and perceive relationships among problems, issues and solutions. Excellent communication skills (stakeholder management, negotiation, Facilitation, influencing) including strong skills in active listening to improve team effectiveness and performance. Candidates who have worked on operational projects and with Korean and Japanese clients are preferred. Experience in mobile Android programming is an advantage. Phúc lợi dành cho bạn Salary negotiable 100% salary during 2-month probation Full-salary insurance starting right from probation period 3 times bonus per year Health check once per year Health care insurance package Attractive training budget for each employee per year for personal training & Premium Udemy Online Learning Account Oversea training opportunities Numerous internal activities: team bonding, team training,... Gifts for each employee on 30/4,1/5; 2/9....(in cash) Bonus for employee having Korean certificates or Software Test certificate 5 working days per week with flexible check-in",https://topdev.vn/viec-lam/java-technical-leader-cong-ty-tnhh-samsung-sds-viet-nam-2034320?src=topdev_search&medium=searchresult,2024-10-28 22:45:50.922269
HCM | D365 Solutions Architect | TS090602-D365SA,Talent Success,Thương lượng,"Hồ Chí Minh, Thành phố Hồ Chí Minh",Đăng 1 tuần trước,Human Resource,25-99 Nhân viên,Vietnam,Từ 5 năm,"Trưởng Nhóm, Senior",In Office,Fulltime,".NET, ETL, D365 FO","Vòng 1: CV Application, Vòng 2: Technical Assessment, Vòng 3: Interview","We are seeking a skilled and experienced D365 Solutions Architect to join our dynamic team. In this role, you will leverage your expertise in Dynamics 365 to design, implement, and manage solutions that drive business success across our finance, supply chain, and commerce modules. Your deep understanding of architecture and integration strategies will be crucial in ensuring seamless system functionality and enhancing our digital transformation efforts. Trách nhiệm công việc Solution Design & Architecture Develop comprehensive solution architectures within Dynamics 365, focusing on finance, supply chain, and commerce modules. Collaborate with stakeholders to gather requirements and translate them into technical specifications and design documents. Ensure scalability, performance, and security of D365 solutions by applying best practices in architecture and system design. Module Expertise Lead the implementation and customization of D365 Finance, Supply Chain, and Commerce modules to optimize business processes. Provide guidance on utilizing out-of-the-box functionalities versus custom development, ensuring efficient use of the platform. Integration Strategy Design and implement integration strategies connecting D365 with other enterprise systems, including ERP, CRM, and third-party applications. Ensure data integrity, consistency, and accuracy across integrated systems. Utilize integration tools and middleware to facilitate seamless data flow between systems. Technical Leadership Serve as a technical lead and mentor for the development team, providing guidance and best practices on D365 solution development. Conduct code reviews and ensure adherence to coding standards and best practices. Troubleshoot and resolve complex technical issues related to D365 modules and integrations. Project Management Collaborate with project managers to define project scope, timelines, and deliverables. Ensure timely and successful delivery of D365 projects, managing risks and issues effectively. Communicate project progress and outcomes to stakeholders, and provide recommendations for continuous improvement. Stakeholder Engagement Work closely with business leaders and end-users to understand their needs and provide tailored D365 solutions. Conduct training sessions and workshops to enhance user adoption and maximize the value of D365 implementations. Stay up-to-date with the latest trends and updates in Dynamics 365 and related technologies, recommending enhancements to current solutions. Kỹ năng & Chuyên môn Minimum of 5 years of experience in D365 architecture, with a strong focus on finance, supply chain, and commerce modules. Proven experience in designing and implementing integration strategies for D365 with other enterprise systems. In-depth knowledge of Dynamics 365 Finance, Supply Chain, and Commerce modules. Proficiency in D365 customization, configuration, and development. Strong understanding of integration tools and technologies (e.g., Power Platform, Azure Logic Apps, APIs). Familiarity with data migration, ETL processes, and system performance optimization. Soft Skills Excellent communication and interpersonal skills, with the ability to engage both technical and non-technical stakeholders. Strong problem-solving and analytical skills, with keen attention to detail. Ability to work independently and as part of a team in a fast-paced environment. Phúc lợi dành cho bạn All regimes as prescribed by the State (health insurance, social insurance, ...) 13-month Salary and good offer package",https://topdev.vn/viec-lam/hcm-d365-solutions-architect-ts090602-d365sa-talent-success-2034440?src=topdev_search&medium=searchresult,2024-10-28 22:45:50.922269
HCMC RPA Developer | TS092001-RPA,Talent Success,Thương lượng,"Hồ Chí Minh, Thành phố Hồ Chí Minh",Đăng 1 tuần trước,Human Resource,25-99 Nhân viên,Vietnam,Từ 2 năm,"Junior, Middle, Senior",Hybrid,Fulltime,"C#, RPA, RPA using UiPath","Vòng 1: CV Application, Vòng 2: Technical Assessment, Vòng 3: Interview","We are seeking a motivated and detail-oriented Junior RPA Developer to join our team in Ho Chi Minh City. The ideal candidate will have at least 1-2 years of experience in Robotic Process Automation (RPA) and be familiar with UiPath and Power Automate. Experience with C#/.Net and VBA is a plus. Trách nhiệm công việc Develop, test, and implement RPA solutions using UiPath and Power Automate. Operate and maintain RPA solutions. Create and maintain documentation for RPA processes and solutions. Troubleshoot and resolve issues related to RPA solutions. Continuously improve and optimize RPA processes for efficiency and effectiveness. Kỹ năng & Chuyên môn At least 1-2 years of experience in RPA development. Proficiency in UiPath and Power Automate. Basic knowledge of C#/.Net and VBA is preferred Excellent communication and teamwork abilities. Ability to work independently and manage multiple tasks simultaneously. Familiarity with code versioning tools such as Git Experience working in an agile team, practicing Scrum or Kanban Phúc lợi dành cho bạn International and professional working environment, long term and growing career path. Up to 15 annual days leave in a year. After 5 years working will got 1 more day. Work from home policy and allowance Health care (Aon) corporate insurance for employee and dependent. Other insurance follows the labor law Salary review each year base on working performance Training: regular training for employee to develop personal skill, French language training open. Laptop is provided Company trip, teambuilding Tet gift, Christmas gift, children day gift, mid-autumn festival gift, woman day gift.",https://topdev.vn/viec-lam/hcmc-rpa-developer-ts092001-rpa-talent-success-2034439?src=topdev_search&medium=searchresult,2024-10-28 22:45:50.922269
05 QA/Tester (Japanese),CQ TDT ASIA JSC,Lên tới 1.500 USD,"Tầng 5, Tòa PVI Tower, số 1 Phạm Văn Bạch, Phường Yên Hoà, Quận Cầu Giấy, Thành phố Hà Nội",Đăng 1 tuần trước,"Product, Fintech, Software, Information Technology, Tài Chính, Finance, Chứng khoán",100-499 Nhân viên,"Japan, Singapore, Vietnam",Từ 2 năm,"Middle, Senior",In Office,Fulltime,"QA, Tester, Manual Test","Vòng 1: Phỏng vấn Technical (có làm bài test), Vòng 2: Phỏng vấn về văn hóa","Trách nhiệm công việc Đề xuất, đưa ra quy trình phát triển (development process) sản phẩm phù hợp với yêu cầu cụ thể của từng dự án. Đưa ra những tài liệu, biểu mẫu, hướng dẫn để đảm bảo chất lượng của sản phẩm cho tất cả các bộ phận trong nhóm phát triển sản phẩm. Lên kế hoạch test, thiết kế test case, test script. Thực thi theo test plan, test case. Thu thập thông tin, gửi báo cáo chất lượng cho khách hàng hoặc project manager. Kiểm tra, audit việc thực thi quy trình của các bộ phận trong nhóm làm sản phẩm có đúng quy trình QA đã đề ra không. Nhắc nhở đội ngũ phát triển sản phẩm việc tuân thủ theo quy trình làm việc đã đưa ra. Điều chỉnh, thay đổi quy trình phù hợp với từng sản phẩm mà các team đang thực hiện. Kỹ năng & Chuyên môn Tốt nghiệp đại học trở lên Có từ 2 năm kinh nghiệm làm việc ở vị trí liên quan Tiếng Nhật từ N3 trở lên Chi tiết, tỉ mỉ, cẩn thận Kỹ năng phân tích tốt Kỹ năng giải quyết vấn đề tốt Có định hướng trở thành BA (nếu muốn) Kiến thức về Agile là một lợi thế Phúc lợi dành cho bạn #INCOME Mức lương đàm phán theo năng lực ứng viên, cạnh tranh với thị trường, upto 1500$. Đánh giá kết quả công việc . Nhiều cơ hội tăng thu nhập từ 50-80%/năm. Thưởng lương tháng 13. Thưởng hiệu quả kinh doanh: Theo kết quả hoạt động kinh doanh hằng năm của công ty. Trợ cấp Make-up với các bạn nữ 1,000,000 VND/tháng. Được cấp thẻ bảo hiểm sức khỏe được thiết kế riêng cho TDTers. Với các nhân sự ở level Manager trở lên, có package benefit riêng. #CAREER PATH IMPROVEMENT Khi trở thành 1 TDTer, bạn sẽ có cơ hội phát triển bản thân với tốc độ gấp 2-3 lần thị trường, với nhiều cơ hội và thách thức như: Được tham gia full-cycle vào quy trình phát triển các sản phẩm Tài chính phức tạp, kết hợp nhiều nghiệp vụ khó. Được làm việc trong môi trường quốc tế: Sử dụng tiếng Anh hàng ngày, trao đổi với team CNTT của nhiều nước khác nhau, onsite dài ngày/ngắn ngày tại nước ngoài... Được tham gia vào các chương trình đào tạo dài hạn dành cho Core-team theo định hướng phát triển của từng vị trí và từng người. Được thử thách với các Senior/ Teamlead/ Project Manager #COMPANY ACTIVITIES Văn phòng thiết kế theo phong cách Co-working, có nhiều tiện ích giải trí như: Máy pha cafe, máy chạy bộ, bàn bóng bàn...; khu ăn uống với đồ ăn, đồ uống miễn phí; phòng tắm nóng lạnh, máy giặt. Được trang bị các thiết bị hiện đại như Laptop cấu hình cao, Macbook... Được tham gia các câu lạc bộ theo sở thích như: CLB bóng đá, CLB chạy, CLB trading chứng khoán/ forex/crypto vui vẻ, các giải game... Được hỗ trợ 100% chi phí tham gia các chuyến du lịch cùng công ty: Summer Holiday, Year End Party Được tặng quà, tham gia các sự kiện trong các dịp 1/6, Trung Thu, 8/3, 20/10, Giáng sinh, Sinh nhật công tyrelax, khu ăn uống với đồ ăn miễn phí, khu tập gym, phòng tắm nóng lạnh... Thời gian làm việc: 08h30 - 17h30, Thứ 2 - Thứ 6. Nghỉ Thứ 7, CN và các ngày lễ theo quy định. Địa điểm làm việc: Trụ sở chính: Tầng 5 PVI Tower, số 1 Phạm Văn Bạch, phường Yên Hòa, quận Cầu Giấy, Thành phố Hà Nội",https://topdev.vn/viec-lam/05-qa-tester-japanese-cq-tdt-asia-jsc-2034474?src=topdev_search&medium=searchresult,2024-10-28 22:45:50.922269
HCM | D365 Technical Consultant/Developer | TS090602-D365TechConsultant,Talent Success,Thương lượng,"Hồ Chí Minh, Thành phố Hồ Chí Minh",Đăng 1 tuần trước,Human Resource,25-99 Nhân viên,Vietnam,Từ 5 năm,"Trưởng Nhóm, Senior",In Office,Fulltime,".NET, ETL, D365 FO","Vòng 1: CV Application, Vòng 2: Technical Assessment, Vòng 3: Interview","As a D365 Technical Consultant/Developer, you will play a crucial role in the design, development, and implementation of Microsoft Dynamics 365 solutions. You will work closely with internal teams to understand business requirements, provide technical guidance, and deliver high-quality solutions that meet or exceed expectations. Your expertise will be instrumental in customizing and extending D365 to align with specific business needs. Trách nhiệm công việc Here’s a neatly structured and easy-to-read version of the information: Solution Design & Development Work with clients and internal stakeholders to gather and analyze business requirements. Design, develop, and customize Microsoft Dynamics 365 solutions, including modules for Finance, Operations, Sales, Customer Service, and more. Develop and implement integrations between D365 and other business systems using Azure services, APIs, and third-party tools. Customization & Configuration Customize D365 to meet specific client needs using X++, C#, JavaScript, and Power Platform tools. Configure and implement workflows, business processes, and custom reports within D365. Technical Expertise & Support Provide technical guidance and support during the implementation phase and post-go-live. Troubleshoot and resolve technical issues related to D365 applications and integrations. Ensure performance optimization, scalability, and security of D365 environments. Collaboration & Communication Collaborate with functional consultants, project managers, and clients to ensure seamless project delivery. Document technical specifications, processes, and configurations for internal and client reference. Conduct training sessions and knowledge transfer workshops for end-users and technical teams. Continuous Improvement Stay updated with the latest D365 features, tools, and best practices. Proactively suggest improvements to enhance system performance, usability, and business value. Kỹ năng & Chuyên môn Bachelor’s degree in Computer Science, Information Technology, or a related field. 5+ years of experience in Microsoft Dynamics 365 development and implementation. Proficiency in X++, C#, JavaScript, and .NET framework. Strong experience with D365 modules such as Finance, Operations, Sales, and Customer Service. Hands-on experience with Azure services, Power Platform, and D365 integration tools. Solid understanding of software development life cycle (SDLC) and Agile methodologies. Excellent problem-solving skills and attention to detail. Strong communication skills with the ability to explain technical concepts to non-technical stakeholders. Preferred Qualifications: Microsoft Certified: Dynamics 365 Fundamentals or Developer Associate. Experience with data migration, ETL processes, and Power BI. Knowledge of DevOps practices and tools for CI/CD in D365 environments. Phúc lợi dành cho bạn All regimes as prescribed by the State (health insurance, social insurance, ...) 13-month Salary and good offer package",https://topdev.vn/viec-lam/hcm-d365-technical-consultant-developer-ts090602-d365techconsultant-talent-success-2034441?src=topdev_search&medium=searchresult,2024-10-28 22:45:50.922269
HCM | Testing Specialist (D365/ ERP) | TS090602-TestERP,Talent Success,Thương lượng,"Hồ Chí Minh, Thành phố Hồ Chí Minh",Đăng 1 tuần trước,Human Resource,25-99 Nhân viên,Vietnam,Từ 5 năm,"Trưởng Nhóm, Senior",In Office,Fulltime,".NET, ETL, D365 FO","Vòng 1: CV Application, Vòng 2: Technical Assessment, Vòng 3: Interview","We are seeking a skilled and detail-oriented Testing Specialist with over 5 years of hands-on experience in testing Dynamics 365 (D365) and Enterprise Resource Planning (ERP) systems. The ideal candidate will possess a deep understanding of testing methodologies and tools, ensuring the highest quality and reliability of our software products. As a Testing Specialist, you will play a critical role in validating system functionality, identifying defects, and ensuring seamless integration across all modules. Trách nhiệm công việc Test Planning & Strategy: Develop comprehensive test plans and strategies for D365 and ERP systems, aligning with business requirements and technical specifications. Test Execution: Execute functional, regression, integration, and performance tests on D365 and ERP modules to ensure system functionality meets the defined criteria. Defect Management: Identify, document, and track defects using appropriate tools, collaborating with development teams to ensure timely resolution. Test Automation: Implement and maintain automated testing scripts to enhance testing efficiency and coverage across multiple test cycles. Collaboration: Work closely with cross-functional teams, including developers, business analysts, and project managers, to understand system requirements and design effective test cases. Reporting: Generate detailed test reports, summarizing test activities, outcomes, and key metrics, providing actionable insights to stakeholders. Continuous Improvement: Continuously refine and enhance testing processes, methodologies, and tools to improve the quality and efficiency of testing activities. Compliance & Best Practices: Ensure all testing activities adhere to industry standards, best practices, and compliance requirements. Kỹ năng & Chuyên môn Experience: 5+ years of experience in testing D365 and ERP systems. Technical Skills: Proficiency in test management tools (e.g., JIRA, TestRail), and automation tools (e.g., Selenium, Microsoft Test Manager). Methodologies: Strong knowledge of software testing methodologies (e.g., Agile, Waterfall, V-Model) and testing life cycle. Analytical Skills: Exceptional analytical and problem-solving skills, with the ability to understand complex business processes and translate them into effective test cases. Communication: Excellent verbal and written communication skills, with the ability to articulate test results and collaborate with technical and non-technical stakeholders. Certifications: ISTQB certification or equivalent is preferred but not required. Preferred Qualifications: Experience with Cloud-based Testing: Familiarity with testing cloud-based D365 solutions. ERP Modules: Knowledge of various ERP modules, including finance, supply chain, and human resources. Programming Skills: Basic understanding of programming languages (e.g., C#, JavaScript) for creating automated tests. Industry Knowledge: Experience in specific industry, e.g., manufacturing, retail is a plus. Phúc lợi dành cho bạn All regimes as prescribed by the State (health insurance, social insurance, ...) 13-month Salary and good offer package",https://topdev.vn/viec-lam/hcm-testing-specialist-d365-erp-ts090602-testerp-talent-success-2034442?src=topdev_search&medium=searchresult,2024-10-28 22:45:50.922269
HCM | Power BI Architect | TS090602-PowerBI,Talent Success,Thương lượng,"Hồ Chí Minh, Thành phố Hồ Chí Minh",Đăng 1 tuần trước,Human Resource,25-99 Nhân viên,Vietnam,Từ 5 năm,"Trưởng Nhóm, Senior",In Office,Fulltime,"AWS, Azure, Power BI","Vòng 1: CV Application, Vòng 2: Technical Assessment, Vòng 3: Interview","We are seeking a highly skilled Power BI Architect with over 5 years of experience to join our dynamic team. The successful candidate will play a crucial role in designing, developing, and implementing Power BI solutions that enable data-driven decision-making across the organization. As a Power BI Architect, you will collaborate closely with business stakeholders, data engineers, and analysts to create scalable and efficient reporting and analytics solutions. Trách nhiệm công việc Solution Design and Architecture: Design and architect robust Power BI solutions, including data models, reports, and dashboards. Define and enforce best practices for data visualization, report development, and performance optimization. Collaborate with business and IT teams to translate business requirements into effective data models and reporting solutions. Data Modeling and ETL: Develop and optimize data models to support business requirements and enhance reporting efficiency. Work with data engineering teams to ensure seamless integration of data sources into Power BI. Design and implement ETL processes to ensure data accuracy, consistency, and reliability. Report and Dashboard Development: Create interactive and user-friendly reports and dashboards that provide actionable insights to stakeholders. Ensure that Power BI reports are optimized for performance, scalability, and user experience. Implement custom visuals and DAX calculations to meet complex reporting needs. Collaboration and Stakeholder Management: Work closely with business stakeholders to understand their reporting and analytics needs. Provide technical guidance and mentoring to junior team members and Power BI users. Collaborate with data governance teams to ensure compliance with data security and privacy policies. Performance Tuning and Optimization: Identify and resolve performance bottlenecks in Power BI reports and dashboards. Optimize data models and queries to ensure fast and efficient data retrieval. Implement Power BI best practices to enhance the overall performance of the solution. Training and Documentation: Develop and deliver training sessions for end-users and technical teams on Power BI tools and best practices. Create and maintain comprehensive documentation for Power BI solutions, including design documents, data dictionaries, and user guides. Kỹ năng & Chuyên môn Bachelor’s degree in Computer Science, Information Technology, or related field. 5+ years of experience in Power BI development and architecture. Strong expertise in data modeling, DAX, Power Query, and SQL. Proven experience in designing and implementing Power BI solutions for large-scale enterprise environments. Familiarity with cloud platforms like Azure, AWS, or Google Cloud is a plus. Strong problem-solving skills with a keen attention to detail. Excellent communication and interpersonal skills. Ability to work independently and as part of a team in a fast-paced environment. Nice to have Experience with Azure Data Services (e.g., Azure Data Factory, Azure Synapse Analytics). Knowledge of other BI tools such as Tableau or QlikView. Understanding of data governance and security practices. Experience with Agile development methodologies. Phúc lợi dành cho bạn All regimes as prescribed by the State (health insurance, social insurance, ...) 13-month Salary and good offer package",https://topdev.vn/viec-lam/hcm-power-bi-architect-ts090602-powerbi-talent-success-2034443?src=topdev_search&medium=searchresult,2024-10-28 22:45:50.922269
HCM | Cloud Tech Leader,Talent Success,Thương lượng,"Hồ Chí Minh, Thành phố Hồ Chí Minh",Đăng 1 tuần trước,Human Resource,25-99 Nhân viên,Vietnam,Từ 3 năm,"Trưởng Nhóm, Middle, Senior","Hybrid, In Office",Fulltime,"AWS, Azure, Google Cloud Platform - Rollbar","Vòng 1: 1st Interview (Vietnam team) + Technical test, Vòng 2: 2nd Interview (Singapore team)","TS082302-CloudLead Trách nhiệm công việc Take the lead in designing and building cloud solutions according to best practices and company needs. Supervise the implementation of cloud-based services and applications, guaranteeing dependability, expandability, and efficiency. Oversee the provisioning, configuration, and optimization of cloud infrastructure. Work together with cross-functional teams to incorporate cloud solutions into your current apps and systems. To pinpoint areas in need of optimization and enhancement, track and evaluate performance indicators related to cloud infrastructure. Use performance tuning techniques to improve cloud-based systems responsiveness and efficiency. Lead the charge on projects to automate time-consuming procedures and improve cloud operations. Provide cloud PS teams technical direction and leadership. Teach team members about emerging trends, best practices, and cloud technologies. Assess cloud service providers and technologies to ascertain which ones are most appropriate for your company. Kỹ năng & Chuyên môn Bachelors degree in Computer Science, Information Technology, or a related field is required. A Masters degree is preferred but not mandatory. Applicants should have at least 8 years of experience managing IT infrastructure, with at least 4 of those years being devoted to cloud computing. Depending on the role, relevant credentials like Google Professional Cloud Architect, Microsoft Certified: Azure Solutions Architect Expert, or AWS Certified Solutions Architect may be necessary or desirable. It is crucial to have proven experience developing, putting into practice, and overseeing cloud solutions in private, public, or hybrid settings. AWS, Azure, or Google Cloud are just a few of the cloud platforms in which candidates should be fluent. Strong understanding of cloud architecture principles, including compute, storage, networking, and security concepts. Experience with cloud-native services and technologies is highly desirable. Proficiency with tools like Terraform, Ansible, and Kubernetes for infrastructure-as-code, cloud automation, and orchestration. It is advantageous to have prior experience with containerization technologies (like Docker), CI/CD pipelines, and DevOps procedures. For this position, strong interpersonal, communication, and leadership abilities are required. Applicants must to have prior experience managing teams, interacting with stakeholders, and spearheading technological projects. Capacity to operate in a dynamic, fast-paced workplace and adjust to shifting demands and objectives. Capacity to build a culture of cooperation and teamwork by working well with stakeholders and cross-functional teams. Skills / Knowledge: Expertise with one or more cloud computing platforms, including Oracle Cloud Infrastructure (OCI), Google Cloud Platform (GCP), Microsoft Azure, and Amazon Web Services (AWS). strong familiarity with the features, services, and capabilities of clouds. Familiarity with configuration management and infrastructure automation tools like Terraform, Ansible, Puppet, or Chef. the capacity to programmatically manage and declaratively specify infrastructure resources. Familiarity with container orchestration systems like Kubernetes and containerization tools like Docker. knowledge of optimizing containerized workloads, managing container clusters, and containerizing apps. Knowledge of the principles of cloud networking, such as routing, load balancing, virtual networks, subnets, and security groups. familiarity with SD-WAN technologies, VPNs, and network protocols. Familiarity with DevOps principles, continuous integration/continuous deployment (CI/CD) pipelines, version control systems (e.g., Git), and agile methodologies. Ability to automate software delivery processes and streamline development workflows. Excellent troubleshooting abilities and the capacity to identify and fix problems in cloud environments. familiarity with root cause analysis, log analysis, and debugging tools. Outstanding communication abilities, including the capacity to explain technical ideas to stakeholders who are neither technical nor non-technical. strong teamwork abilities to lead projects to completion and function well in cross-functional teams. Phúc lợi dành cho bạn Meal and transportation stipends Performance-based bonus 14 days of annual leave Company-provided laptop Hybrid work option (2 days in the office, 4 days remote during probation) Occasional travel opportunities to collaborate with the team in Singapore Professional growth and development opportunities Social and health insurance in accordance with Vietnamese Labor Law (Full coverage)",https://topdev.vn/viec-lam/hcm-cloud-tech-leader-talent-success-2034446?src=topdev_search&medium=searchresult,2024-10-28 22:45:50.922269
